,Company,ID,Facility,CountryName,Sector,TotQ,FosQ,BioQ,BioPerc,Lat,Long
0,"Stora Enso Oyj, Imatran tehtaat",6363,"Stora Enso Oyj, Imatran tehtaat",Finland,Manufacture of paper and paperboard,2.26,0.16,2.1,93.0,61.226000000000006,28.82041
1,Zellstoff Stendal GmbH,46977,Zellstoff Stendal GmbH,Germany,Manufacture of pulp,1.95,0.0768,1.8732,96.0,52.690618245100005,11.9858983281
2,"UPM KYMMENE OYJ, UPM, Pietarsaari",7265,"UPM KYMMENE OYJ, UPM, Pietarsaari",Finland,Manufacture of pulp,1.88,0.00331,1.87669,100.0,63.71706999999999,22.71153
3,Södra Cell AB,5099,Södra Cell Mönsterås,Sweden,Manufacture of pulp,1.87,0.0151,1.8549,99.0,57.09152546,16.55049128
4,STORA ENSO PULP AB,482,Skutskärs Bruk,Sweden,Manufacture of pulp,1.81,0.00837,1.80163,100.0,60.64364568,17.38985017
5,"Metsä Fibre Oy, Joutsenon tehdas",6384,"Metsä Fibre Oy, Joutsenon tehdas",Finland,Manufacture of pulp,1.66,0.0392,1.6208,98.0,61.13159,28.456809999999997
6,"STORA ENSO OYJ, ENOCELLIN TEHDAS",6085,"STORA ENSO OYJ, ENOCELLIN TEHDAS",Finland,Manufacture of pulp,1.66,0.0408,1.6192,98.0,62.9227,30.2216
7,Metsä Board Sverige AB,7924,"Metsä Board Sverige AB, Husums fabr",Sweden,Manufacture of paper and paperboard,1.6,0.0544,1.5456,97.0,63.32792368,19.16005724
8,"UPM-Kymmene Oyj, Kymi",6919,"UPM-Kymmene Oyj, Kymi",Finland,Manufacture of paper and paperboard,1.57,0.102,1.468,94.0,60.9068,26.6663
9,Metsä Fibre Oy Kemi,6592,Metsä Fibre Oy Kemi,Finland,Manufacture of pulp,1.57,0.061,1.509,96.0,65.75591999999999,24.521810000000002
10,"UPM-Kymmene Oyj, Kaukaan tehtaat",6954,"UPM-Kymmene Oyj, Kaukaan tehtaat",Finland,Manufacture of paper and paperboard,1.42,0.0799,1.3401,94.0,61.06576,28.24754
11,"STORA ENSO OYJ, Oulun tehdas, Oulu",7199,"STORA ENSO OYJ, Oulun tehdas, Oulu",Finland,Manufacture of paper and paperboard,1.37,0.26,1.11,81.0,65.00584,25.43488
12,"Metsä Fibre Oy, Rauman tehdas",7382,"Metsä Fibre Oy, Rauman tehdas",Finland,Manufacture of pulp,1.34,0.139,1.201,90.0,61.11079,21.46695
