FacilityName,BioQ,Lat,Long
Mondi Dynäs AB,0.635641,62.97420348,17.72348696
Södra Cell Mörrum,1.083759,56.16098092,14.76467857
Gruvöns bruk,1.23,59.33826572,13.12154172
Vallviks Bruk,0.628886,61.18824933,17.18280888
Skutskärs Bruk,1.517316,60.64364568,17.38985017
Domsjö Fabriker AB,0.534992,63.26929244,18.69583889
"Metsä Board Sverige AB, Husums fabr",1.624821,63.32792368,19.16005724
Iggesunds Bruk,0.856296,61.63863899,17.09808643
Södra Cell Värö,1.525192,57.22166666,12.17192747
STORA ENSO NYMÖLLA AB,0.7783,56.04379387,14.47984532
SCA Östrands massafabrik,1.138646294,62.47530374,17.32897413
BillerudKorsnäs Sweden AB Skärblacka Bruk,0.993,58.57980097,15.89974012
Bäckhammars Bruk,0.551924228,59.16005641,14.18117766
Smurfit Kappa Kraftliner Piteå,1.115801,65.31475314,21.44038572
Södra Cell Mönsterås,1.899852,57.09152546,16.55049128
BillerudKorsnäs Karlsborgs AB,0.852255,65.79194132,23.28768535
Korsnäsverken,1.257892821,60.68240441,17.27333698
"BillerudKorsnäs Skog & Industri AB, Frövi",0.70951154,59.47975587,15.32873919
SCA Munksund,0.681725,65.27232862,21.50387968
Skoghalls Bruk,0.94878,59.31835168,13.43760246
Igelsta kraftvärmeverk,0.717833388,59.17748225,17.66524499
Händelöverket,0.605462586,58.61956111,16.23332849
VÄRTAVERKET,1.419494,59.35263441,18.10088242
Lantmännen Agroetanol AB,0.15243,58.61406235,16.22923505
