REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
DE,1624 - Anlagenkonto,Kraftwerk Neurath,1606,14310-1093,20,power,43843,32.1,,0.03,32069617,2080,0,0,,29-aug-14
DE,1667 - Anlagenkonto,Kraftwerk Niederaußem,1649,14310-1153,20,power,44073,27.3,,-0.03,27330240,18910,90966,0,,OPEN
DE,1474 - Anlagenkonto,Kraftwerk Jänschwalde,1456,14310-0918,20,power,46361,23.7,0.4,0.37,23325104,37330,0,0,,OPEN
DE,1625 - Anlagenkonto,Kraftwerk  Weisweiler,1607,14310-1094,20,,,,,,18139249,54772,0,0,,23-dec-15
GB,Operator Account,Drax Power Station,381,UK-E-IN-11718,1,power,13777,23.4,10.2,10.21,13192780,-1,-1,-1,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI  BRINDISI SUD,521,IT-A-769,1,power,7027,13.1,,-0.01,13112244,0,0,0,,OPEN
DE,1477 - Anlagenkonto,Kraftwerk Schwarze Pumpe,1459,14310-0921,20,power,46366,12.3,0.1,0.06,12244201,327072,0,0,,OPEN
PL,ELEKTROWNIA KOZIENICE,ELEKTROWNIA KOZIENICE,4,PL-0004-05,20,power,4951,11.6,,0.21,11393513,20673,0,0,,OPEN
BG,TPP MARITSA EAST 2  EAD,TPP MARITSA EAST 2 EAD,50,BG-P46,20,,,,,,11293658,-1,-1,-1,,02-OCT-14
DE,1472 - Anlagenkonto,Kraftwerk Boxberg Werk IV,1454,14310-0916,20,power,N/A,,,,10822291,4863,0,0,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI TORREVALDALIGA NORD,439,IT-A-667,1,,,,,,10736213,0,0,0,,OPEN
GR,DEIAGDIM,?????????????? ??????? ??? ????? ?????????,15,04-jan,20,,,,,,10558256,39946,0,0,,OPEN
DE,1478 - Anlagenkonto,Kraftwerk Lippendorf,1460,14310-0922,20,,,,,,10285560,129302,0,0,,OPEN
GR,DEIKARD,?????????????? ??????? ??? ???????,14,03-jan,20,,,,,,8870729,0,37893,0,,OPEN
AT,Voestalpine Stahl Linz,Voestalpine Stahl Linz,16,IVA062,24,,,,,,8712811,6611507,0,0,,OPEN
PT,118-EDP - Gestão da Produção de Energia S.A.,Central Termoeléctrica de Sines,100,78,20,,,,,,8683899,-1,-1,-1,,OPEN
SK,U.S. Steel Košice s.r.o.,U. S. Steel Košice s.r.o.,150,803-002A-2012,20,,,,,,8646638,6190422,0,0,,OPEN
DE,1471 - Anlagenkonto,Kraftwerk Boxberg Werk III,1453,14310-0915,20,,,,,,8615210,9102,0,0,,OPEN
DE,Integriertes Hüttenwerk Duisburg,Integriertes Hüttenwerk Duisburg,69,14220-0035,24,,,,,,8202034,16265093,0,0,,OPEN
FR,ARCELORMITTAL MEDITERRANEE,ARCELORMITTAL MEDITERRANEE,628,6401052,24,,,,,,7861098,6615651,0,0,,OPEN
GB,West Burton A,West Burton Power Station,145,UK-E-IN-11463,20,,,,,,7724207,-1,-1,-1,,OPEN
GB,Operator Account,Port Talbot Steelworks,325,UK-W-IN-11665,24,,,,,,7554484,5978060,726741,0,,OPEN
ES,Hidrocantábrico S.A - Aboño 1 y 2,Hidrocantábrico S.A - Aboño 1,201,ES033301000215,20,,,,,,7545959,-1,-1,-1,,OPEN
ES,Endesa Generación S.A. - As Pontes (Unidad de Producción Térmica),Endesa Generación S.A. - Puentes,647,ES121501000743,20,,,,,,7542286,-1,-1,-1,,OPEN
GB,Longannet Power Station,Longannet Power Station,593,UK-S-IN-12326,1,,,,,,7457176,-1,-1,-1,,OPEN
IE,Ryanair Limited,8651,201078,AEM10143,10,,,,,,7400795,4610591,0,0,,OPEN
DE,1398 - Anlagenkonto,Grosskraftwerk Mannheim,1380,14310-0835,20,,,,,,7316094,408961,0,0,,OPEN
EE,Operator Account:EE5,Eesti Elektrijaam,2,EE-KL-0002,1,,,,,,7080114,62419,0,0,,OPEN
GB,Cottam Power,Cottam Power Station,202,UK-E-IN-11534,20,,,,,,6756444,-1,-1,-1,,OPEN
GB,Aberthaw PS Operator Account,Aberthaw Power Station,188,UK-W-IN-11516,20,,,,,,6703696,-1,-1,-1,,OPEN
IT,Operator Account,Impianti di raffinazione,575,IT-A-841,21,,,,,,6594472,2511037,0,0,,OPEN
ES,Endesa Generación S.A. - Litoral,Endesa Generación S.A. - Litoral,43,ES010401000044,20,,,,,,6440967,-1,-1,-1,,OPEN
HU,Operator Account:HU144,Mátrai Eromu Rt. Visontai Eromu,142,HU-UHG5119-1-04,1,,,,,,6363197,16247,0,0,,OPEN
PL,Instalacja do spalania paliw z wyj. inst. do spalania odpadów niebezp. lub komun.,Instalacja do spalania paliw,5,PL-0005-05,20,,,,,,6299450,139398,0,0,,OPEN
NL,RWE Eemshaven Centrale,RWE Eemshaven Centrale,205957,NL-201000010,20,,,,,,6293776,-1,-1,-1,,OPEN
IT,Ilva S.p.A - Taranto,ILVA S.P.A. - Stabilimento di Taranto,515,IT-A-762,5,,,,,,6256981,13737355,0,0,,OPEN
NL,Tata Steel IJmuiden bv BKG 1,Tata Steel IJmuiden bv BKG 1,144,NL-200400186,24,,,,,,6205821,10302113,0,0,,OPEN
NL,Uniper Centrale Maasvlakte,Uniper Centrale Maasvlakte,163,NL-200400153,20,,,,,,6026038,20335,0,0,,OPEN
ES,ARCELORMITTAL ESPAÑA S.A.,ARCELORMITTAL ESPAÑA S.A.,212,ES033305000226,24,,,,,,5907100,7159424,0,0,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI  FUSINA,275,IT-A-343,1,,,,,,5779411,0,0,0,,OPEN
NL,Essent Amercentrale,Essent Amercentrale,172,NL-200400221,20,,,,,,5669492,182589,0,0,,OPEN
GB,Scunthorpe Integrated Steel Works,Scunthorpe Integrated Iron & Steel Works,321,UK-E-IN-13292,22,,,,,,5667711,6342870,0,0,,OPEN
GB,Fiddlers Ferry Power Station,Fiddlers Ferry Power Station,562,UK-E-IN-11849,1,,,,,,5556750,-1,-1,-1,,OPEN
RO,Operator Account,SC C.E. OLTENIA SA - SUC. ELECTROCENTRALE ROVINARI,87,RO-163-2013,20,,,,,,5412542,-1,-1,-1,,OPEN
PL,ELEKTROWNIA P?TNÓW,ELEKTROWNIA P?TNÓW,21,PL-0021-05,20,,,,,,5371308,5170,0,0,,OPEN
DE,Kraftwerk Schkopau,Kraftwerk Schkopau,1376,14310-0831,20,,,,,,5351933,209360,0,0,,OPEN
CZ,?EZ - Elektrárna Po?erady,?EZ a. s. - Elektrárna Po?erady,124,CZ-0204-05,1,,,,,,5135531,6190,0,2338599,,OPEN
IT,Taranto Energia S.r.L - Taranto,STABILIMENTO DI TARANTO,511,IT-A-758,1,,,,,,4804006,0,0,0,,OPEN
GB,Ratcliffe on Soar Power Station,Ratcliffe on Soar power station,154,UK-E-IN-13306,20,,,,,,4774148,-1,-1,-1,,OPEN
DE,71 - Anlagenkonto,Glocke Duisburg,53,14220-0016,24,,,,,,4765546,6673212,185847,0,,OPEN
DE,1623 - Anlagenkonto,Kraftwerk Frimmersdorf,1605,14310-1092,20,,,,,,4752557,6789,0,0,,OPEN
GB,Eggborough Operator Account,Eggborough Power Station,169,UK-E-IN-11494,20,,,,,,4748504,-1,-1,-1,,OPEN
DE,Kraftwerk Scholven,Kraftwerk Scholven,1205,14310-0649,20,,,,,,4720436,190299,0,0,,OPEN
GB,EACL ETS Account,23226,200381,UK-E-AV-00033,10,,,,,,4711286,2942618,0,0,,OPEN
ES,Endesa Generación S.A. - Teruel 1 2 y 3,Endesa Generación - Teruel,173,ES024401000184,20,,,,,,4663461,-1,-1,-1,,OPEN
CZ,?EZ - Elektrárna Tušimice 2,?EZ a. s. - Elektrárna Tušimice 2,129,CZ-0209-05,1,,,,,,4658430,35212,0,2546948,,OPEN
BE,348 Electrabel - Knippegroen,Electrabel - Knippegroen,750,VLE50,1,,,,,,4568881,-1,-1,-1,,OPEN
